x,xp,y,yp,t,p,dt,particleID
-0.00800002306100387,-0.01495855346053587,-0.00851921768249431,-0.005942686109622198,4.574030448012763e-08,763.1923272265351,-2.225834896542595e-11,115
-0.008015369022808106,-0.02082459188840714,-0.01564303744644724,-0.01135343872046965,4.5750399997223933e-08,763.1330579844876,-1.2162831869117659e-11,116
-0.00806693343315702,-0.01315483433039372,-0.007197355563796212,-0.006184002522112111,4.5770750951797674e-08,769.3875512968574,8.188122704623402e-12,910
-0.008559712785525881,-0.01669466346554648,-0.002987919107740569,-0.003775215758386243,4.577004260637156e-08,761.1848321298428,7.479777278505383e-12,118
-0.006775270345428588,0.004264641697985763,-0.007375203239132258,-0.005664038931146888,4.577818743152663e-08,789.4827568061686,1.562460243357964e-11,119
-0.006952872606606148,-0.01072338736273102,-0.007871601198391335,-0.00720054568055761,4.578068447673508e-08,774.5050108177694,1.812164764202948e-11,120
-0.006716714382446019,-0.007380318008870168,-0.01198028206765511,-0.009051649878670805,4.577899421807016e-08,797.0898344801666,1.643138897711042e-11,756
-0.007087388915398524,0.001445232890295765,-0.009425104000619603,-0.009165944359397254,4.5767554011509087e-08,797.6708054035166,4.991182416029013e-12,754
-0.007860600556608179,-0.01086978697436345,-0.006288126736146202,-0.006040082326739976,4.576525110303078e-08,772.6841889907787,2.688273937724303e-12,123
-0.006021071860550084,-0.005481966932553072,-0.01267555834949384,-0.008656512063026449,4.5759294286690365e-08,795.2642085317274,-3.268542402692335e-12,909
-0.006392747494390836,-0.003058875910503249,-0.004193374493733162,-0.005507834820274426,4.5773729015846583e-08,785.6592488290506,1.116618675353226e-11,125
-0.006777179265016003,-0.003473371149701547,-0.01516157114184553,-0.01036230627210106,4.575120372760986e-08,778.0832141259266,-1.135910148320057e-11,126
-0.006605791466136563,-0.001060085795660316,-0.01457313748245064,-0.009104343498335415,4.5765053299572254e-08,809.0287110708063,2.490470479202566e-12,127
-0.006103312821415295,-0.006541023030703402,-0.00843748830379303,-0.00697628909237773,4.5757021719080614e-08,796.4990081864972,-5.541110012443429e-12,128
-0.007417692889788783,-0.006061458673945315,-0.01099286573284599,-0.00764038222587847,4.5764931981713655e-08,782.0489203024811,2.369152620597517e-12,129
-0.006484330571842431,-0.0147845053709846,-0.01219137285786874,-0.01021697215741525,4.573696884572339e-08,776.0963201749234,-2.559398336966546e-11,908
-0.00662346701647985,-0.00772135337487555,-0.01155958598614935,-0.008348402526383846,4.5738502247448966e-08,777.8434919031404,-2.4060581644091478e-11,131
-0.005888989295701072,-0.003787456319349688,-0.01054760970939539,-0.008584748229589732,4.5798243540635606e-08,797.0605277115684,3.5680711542548e-11,132
-0.007721274957315925,-0.004062933339302926,-0.008287998932926529,-0.006843946960244075,4.5786652495137715e-08,816.0852777923791,2.4089666044663887e-11,133
-0.00818635616900646,-0.009665115576675857,-0.01113083891962144,-0.008038679001681481,4.5793565224312407e-08,766.3185273625165,3.100239521934888e-11,134
-0.007919321799131709,-0.01659218210992706,-0.01529645564070458,-0.01135190620513622,4.577139239910019e-08,763.7852455598486,8.829570007141264e-12,135
-0.006730867447955239,-0.007419390333081061,-0.01020553167459704,-0.00845074856516824,4.57639188588644e-08,781.6980059950592,1.356029771344096e-12,136
-0.006219124525225383,-0.001779335133967951,-0.01185633743388351,-0.008219145049507465,4.577535073411997e-08,810.3941065548864,1.2787905026913959e-11,906
